[2024-08-22 09:33:23,158][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-08-22-09-33-23-158290.log
[2024-08-22 09:33:23,161][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-08-22-09-33-23-159966.html
[2024-08-22 09:33:23,201][basic_search][INFO][generic_smbo.py:310] Iter 1, objectives: [3888814.0].
[2024-08-22 09:33:23,239][basic_search][INFO][generic_smbo.py:310] Iter 2, objectives: [3862820.0].
[2024-08-22 09:33:23,278][basic_search][INFO][generic_smbo.py:310] Iter 3, objectives: [4043627.0].
[2024-08-22 09:33:23,321][basic_search][INFO][generic_smbo.py:310] Iter 4, objectives: [4442526.0].
[2024-08-22 09:33:23,363][basic_search][INFO][generic_smbo.py:310] Iter 5, objectives: [4265457.0].
[2024-08-22 09:33:23,401][basic_search][INFO][generic_smbo.py:310] Iter 6, objectives: [3866482.0].
[2024-08-22 09:33:23,460][basic_search][INFO][generic_smbo.py:310] Iter 7, objectives: [3794319.0].
[2024-08-22 09:33:23,502][basic_search][INFO][generic_smbo.py:310] Iter 8, objectives: [4221930.0].
[2024-08-22 09:33:23,536][basic_search][INFO][generic_smbo.py:310] Iter 9, objectives: [3458626.0].
[2024-08-22 09:33:23,573][basic_search][INFO][generic_smbo.py:310] Iter 10, objectives: [3695766.0].
[2024-08-22 09:33:23,613][basic_search][INFO][generic_smbo.py:310] Iter 11, objectives: [3839346.0].
[2024-08-22 09:33:23,653][basic_search][INFO][generic_smbo.py:310] Iter 12, objectives: [4003022.0].
[2024-08-22 09:33:23,694][basic_search][INFO][generic_smbo.py:310] Iter 13, objectives: [3966629.0].
[2024-08-22 09:33:23,736][basic_search][INFO][generic_smbo.py:310] Iter 14, objectives: [4112338.0].
[2024-08-22 09:33:23,772][basic_search][INFO][generic_smbo.py:310] Iter 15, objectives: [3552453.0].
[2024-08-22 09:33:23,807][basic_search][INFO][generic_smbo.py:310] Iter 16, objectives: [3420564.0].
[2024-08-22 09:33:23,846][basic_search][INFO][generic_smbo.py:310] Iter 17, objectives: [3786998.0].
[2024-08-22 09:33:23,884][basic_search][INFO][generic_smbo.py:310] Iter 18, objectives: [3704729.0].
[2024-08-22 09:33:23,939][basic_search][INFO][generic_smbo.py:310] Iter 19, objectives: [3709359.0].
[2024-08-22 09:33:23,982][basic_search][INFO][generic_smbo.py:310] Iter 20, objectives: [4071036.0].
[2024-08-22 09:33:24,028][basic_search][INFO][generic_smbo.py:310] Iter 21, objectives: [4383559.0].
[2024-08-22 09:33:24,072][basic_search][INFO][generic_smbo.py:310] Iter 22, objectives: [4064504.0].
[2024-08-22 09:33:24,111][basic_search][INFO][generic_smbo.py:310] Iter 23, objectives: [3639659.0].
[2024-08-22 09:33:24,158][basic_search][INFO][generic_smbo.py:310] Iter 24, objectives: [4033484.0].
[2024-08-22 09:33:24,201][basic_search][INFO][generic_smbo.py:310] Iter 25, objectives: [3978460.0].
