[2024-09-11 09:12:38,034][basic_search][INFO][color_logger.py:203] Logfile: /gyc_data/fray_data/project_hw/logs_gray_clapboard_search/basic_search_2024-09-11-09-12-38-034173.log
[2024-09-11 09:12:38,404][basic_search][INFO][generic_advisor.py:231] [BO auto selection]  acq_type: ei. acq_optimizer_type: local_random.
[2024-09-11 09:12:38,409][basic_search][INFO][html_visualizer.py:462] Please open the html file to view visualization result: file:///gyc_data/fray_data/project_hw/logs_gray_clapboard_search/history/basic_search/basic_search_2024-09-11-09-12-38-407799.html
[2024-09-11 09:12:38,412][basic_search][INFO][generic_smbo.py:310] Iter 1, objectives: [706039.0].
[2024-09-11 09:12:38,413][basic_search][INFO][generic_smbo.py:310] Iter 2, objectives: [808685.0].
[2024-09-11 09:12:38,415][basic_search][INFO][generic_smbo.py:310] Iter 3, objectives: [795560.0].
[2024-09-11 09:12:38,416][basic_search][INFO][generic_smbo.py:310] Iter 4, objectives: [726398.0].
[2024-09-11 09:12:38,418][basic_search][INFO][generic_smbo.py:310] Iter 5, objectives: [751733.0].
[2024-09-11 09:12:38,420][basic_search][INFO][generic_smbo.py:310] Iter 6, objectives: [757099.0].
[2024-09-11 09:12:38,422][basic_search][INFO][generic_smbo.py:310] Iter 7, objectives: [701811.0].
[2024-09-11 09:12:38,425][basic_search][INFO][generic_smbo.py:310] Iter 8, objectives: [740262.0].
[2024-09-11 09:12:38,428][basic_search][INFO][generic_smbo.py:310] Iter 9, objectives: [723849.0].
[2024-09-11 09:12:38,431][basic_search][INFO][generic_smbo.py:310] Iter 10, objectives: [662153.0].
[2024-09-11 09:12:38,434][basic_search][INFO][generic_smbo.py:310] Iter 11, objectives: [726875.0].
[2024-09-11 09:12:38,438][basic_search][INFO][generic_smbo.py:310] Iter 12, objectives: [726875.0].
[2024-09-11 09:12:38,442][basic_search][INFO][generic_smbo.py:310] Iter 13, objectives: [743258.0].
[2024-09-11 09:12:38,446][basic_search][INFO][generic_smbo.py:310] Iter 14, objectives: [790804.0].
[2024-09-11 09:12:38,451][basic_search][INFO][generic_smbo.py:310] Iter 15, objectives: [757099.0].
[2024-09-11 09:12:38,456][basic_search][INFO][generic_smbo.py:310] Iter 16, objectives: [725152.0].
[2024-09-11 09:12:38,461][basic_search][INFO][generic_smbo.py:310] Iter 17, objectives: [706039.0].
[2024-09-11 09:12:38,466][basic_search][INFO][generic_smbo.py:310] Iter 18, objectives: [799467.0].
[2024-09-11 09:12:38,472][basic_search][INFO][generic_smbo.py:310] Iter 19, objectives: [706039.0].
[2024-09-11 09:12:38,477][basic_search][INFO][generic_smbo.py:310] Iter 20, objectives: [725721.0].
